"","term","E","P","A"
"553","solemn",0.5,-0.23,-2.21
"554","sophisticated",2.02,1.7,0.11
"555","sorrowful",-1.59,-1.47,-1.95
"556","sorry",0.65,-0.49,-1.24
"557","spacey",-1.38,-1.63,-1.74
"558","spirited",2.51,1.82,1.74
"559","spiteful",-2.38,-1.3,0.09
"560","spoiled",-1.81,-0.25,0.82
"561","squeamish",-1.74,-1.56,-0.14
"562","stable",2.81,1.84,-1
"563","steadfast",2.04,1.58,0.01
"564","stingy",-1.72,-0.44,-0.86
"565","stoned",-0.84,-1.05,-1.2
"566","straightforward",2.37,1.71,1.06
"567","strange",0.2,-0.06,0.21
"568","strict",-0.13,1.52,1.1
"569","strong",2.71,2.91,0.96
"570","strong_willed",1.9,2.2,1.28
"571","stubborn",-1.35,-0.19,-0.03
"572","studious",2.6,1.33,-0.69
"573","stunned",-0.85,-0.58,-0.35
"574","stupid",-2.6,-2.2,-0.82
"575","subdued",-1.42,-1.67,-0.99
"576","submissive",-0.91,-2.37,-2.14
"577","successful",3.05,2.61,1.82
"578","suicidal",-3.51,-2.04,-1.37
"579","superstitious",-0.95,-1.27,-0.15
"580","surprised",0.91,0.09,1.7
"581","suspicious",-0.89,-0.43,-0.54
"582","sympathetic",2.6,1.23,-0.89
"583","taciturn",-0.61,-0.83,-1.63
"584","tactful",2.66,1.64,-0.74
"585","tactless",-2.21,-1.05,0.51
"586","talented",3.05,2.38,1.64
"587","talkative",0.63,0.77,2.4
"588","team_spirited",2.14,1.58,2.36
"589","temperamental",-1.6,-0.19,1.53
"590","tense",-1.94,-0.97,0.38
"591","terrified",-3,-1.9,1.13
"592","thankful",3.08,1.64,0
"593","thoughtful",2.97,1.74,-0.61
"594","thoughtless",-2.46,-1.78,-1.04
"595","thrilled",2.52,1.81,2.2
"596","timid",-1.26,-2.33,-2.31
"597","tired",-1.39,-1.67,-2.84
"598","tolerant",2.72,1.6,-0.35
"599","tormented",-3.23,-1.56,0.18
"600","tough",1.35,2.28,1.45
"601","tranquil",2.57,0.86,-2.8
"602","troubled",-2.29,-1.72,-0.65
"603","trusting",2,1.36,-0.47
"604","ugly",-1.82,-1.79,-1
"605","unambitious",-1.94,-2.2,-2.25
"606","unattractive",-1.42,-1.65,-1.13
"607","uncertain",-1.04,-1.66,-1.07
"608","uncomfortable",-1.8,-1.65,-1.37
"609","unconventional",1.1,0.7,0.75
"610","understanding",3.04,2.25,-0.42
"611","uneasy",-1.9,-1.4,-0.74
"612","uneducated",-2.6,-2.47,-1.79
"613","unemployed",-2.57,-2.55,-2.06
"614","unfair",-2.87,0.34,0.5
"615","unforgiving",-2.5,-0.46,-1.04
"616","unfriendly",-2.63,-0.62,-0.3
"617","ungrateful",-2.94,-1.11,-0.35
"618","unhappy",-2.89,-1.47,-1.95
"619","unhealthy",-2.99,-1.71,-2.09
"620","unhelpful",-2.39,-1.01,-1.64
"621","unimaginative",-2.07,-1.93,-1.98
"622","unique",2.12,1.38,0.79
"623","unkind",-3.16,-0.25,0.82
"624","unlucky",-2.59,-2.02,-0.8
"625","unmotivated",-2.3,-2.14,-2.67
"626","unpopular",-1.33,-2.01,-1.46
"627","unreasonable",-2.3,-0.34,1.37
"628","unreliable",-3.05,-2.02,-1.23
"629","unsatisfied",-2.27,-1.71,-0.91
"630","unscrupulous",-2.19,0.38,0.71
"631","unselfish",2.9,2.03,-0.68
"632","unsophisticated",-1.21,-1.48,-0.45
"633","unsportsmanlike",-2.66,-1.12,1.47
"634","unstable",-2.6,-1.91,0.96
"635","unsuccessful",-2.09,-2.18,-1.51
"636","upset",-2.15,-1.19,-0.05
"637","uptight",-1.8,-1,0.22
"638","vain",-2.11,-0.44,0.91
"639","vengeful",-2.63,0,1.12
"640","vigorous",1.94,1.94,2.62
"641","violent",-3.31,1.35,2.8
"642","virtuous",2.81,1.81,0.06
"643","vivacious",1.62,1.42,2.12
"644","vulgar",-2.08,-0.53,1.69
"645","warm",2.62,1.29,-0.18
"646","warmhearted",3.2,1.99,-0.08
"647","weak",-2.09,-3,-2.2
"648","wealthy",1.96,2.75,1.17
"649","weird",0.71,0.13,0.7
"650","white",0.93,0.88,0.17
"651","wholesome",2.4,1.15,-0.31
"652","widowed",-2.53,-1.57,-1.35
"653","wild",-0.04,1.16,2.83
"654","wise",3.22,2.62,-0.87
"655","withdrawn",-1.29,-1.84,-2.51
"656","witty",2.1,1.33,1.43
"657","worried",-1.8,-1.8,-0.55
"658","worthless",-3.09,-2.98,-2.26
"659","worthy",3.03,2.3,0.53
"660","young",2.06,0.18,2.18
