"","term","E","P","A"
"182","innocent",2.46,1.14,-2.03
"183","insider",0.83,0.56,-0.54
"184","interviewee",1.2,1.05,-1.11
"185","interviewer",1.56,0.97,-0.87
"186","intimate",2.6,1.6,0.17
"187","introvert",-0.91,-1.99,-1.79
"188","invalid",-0.17,-1.56,-1.64
"189","isolate",-1.18,-0.96,-1.09
"190","jerk",-0.81,-0.59,1.35
"191","judge",1.45,1.72,0
"192","juror",0.76,1.31,-0.22
"193","kid",1.43,-0.51,0.29
"194","know_it_all",-2.54,-1.5,1.57
"195","lackey",0.58,0.86,-0.63
"196","lady",2.02,0.83,-0.63
"197","lady_killer",0.02,0.32,0.37
"198","lawyer",0.88,0.98,0.25
"199","leader",1.62,1.95,0.6
"200","lecturer",1.07,1.13,-0.66
"201","liar",-2.56,-2.38,1.45
"202","liberal",1.65,1.32,-0.1
"203","librarian",1.09,0.63,-0.77
"204","little_brother",1.6,0.19,0.54
"205","loafer",-1.82,-1.17,-0.68
"206","lobbyist",-2.03,-0.21,1.49
"207","loser",-1.5,-1.43,0.29
"208","loved_one",2.17,1.61,-1.15
"209","lunatic",-1.1,-1.21,1.66
"210","male",1.51,1.69,0.74
"211","mama's_boy",-0.73,-1.45,0.12
"212","man",1.2,1.9,0.34
"213","manageress",1.26,1.6,0.41
"214","maniac",-1.19,-1.49,0.02
"215","masochist",-2.08,-1.8,1
"216","matriarch",1.38,1.7,0.33
"217","mental_case",-1.28,-1.13,0.96
"218","merchant",2.08,1.28,0.1
"219","millionaire",0.57,1.27,0.82
"220","minister",-1.03,-1.34,-0.22
"221","mistress",1.42,0.53,-0.52
"222","mobster",-1.97,0.44,1.12
"223","moron",-1.56,-1.43,0.05
"224","mother",3.08,2.66,-0.85
"225","mugger",-1.81,-0.15,0.69
"226","murderer",-2.94,-0.78,1.66
"227","murderess",-2.61,-0.83,1.69
"228","negotiator",1.11,1.04,-0.06
"229","neighbor",1.02,-0.04,-0.24
"230","nephew_(son_of_brother)",2.05,0.5,0.1
"231","nephew_(son_of_sister)",1.44,-0.16,0.04
"232","neurotic",-1.34,-1.02,1.13
"233","newlywed",1.87,0.88,-0.44
"234","niece_(daughter_of_brother)",1.42,0.42,-0.26
"235","niece_(daughter_of_sister)",1.34,0.07,-0.68
"236","nobody",-1.72,-1.99,-0.52
"237","non_smoker",1.84,1.49,-1.22
"238","novice",1.19,-0.15,-0.64
"239","nurse",2.02,1.71,-1.13
"240","office_boy",1.35,0.32,-0.94
"241","old_man",1.16,-1.05,-1.26
"242","old_timer",1.31,-0.98,-1.29
"243","opponent",-0.75,-0.11,0.51
"244","opportunist",-2.33,-1.77,1.29
"245","organizer",1.96,1.89,-1.1
"246","orphan",0.76,-0.35,-0.75
"247","outlaw",-2.15,-1.07,1.57
"248","pagan",-1.89,-1.89,0.22
"249","pal",0.98,0.67,-0.51
"250","paranoid",-1.45,-0.56,1.37
