"","term","E","P","A"
"655","parking_attendant",0.95,-0.21,0.47
"656","parolee",-0.62,-1.21,-0.23
"657","part_time_employee",0.93,-1.1,0.37
"658","partner",2.27,1.45,0.77
"659","passenger",0.51,-0.92,-0.76
"660","passer_by",0.3,-0.4,-0.36
"661","pastor",1.13,1.31,0.69
"662","patient",0.55,-1.5,-1.42
"663","patriot",1.89,1.46,1.53
"664","patrolman",1.61,2.09,1.59
"665","pawnbroker",-0.17,0.76,1.21
"666","pedestrian",0.73,-0.47,0.15
"667","pediatrician",2.74,1.93,0.98
"668","peeping_tom",-3.16,-1.36,-1.42
"669","peer",1.39,0.4,0.45
"670","person",0.92,0.59,0.43
"671","pessimist",-1.7,-1.42,-0.77
"672","pest",-2.69,-0.43,1.81
"673","pharmaceutical_executive",0.27,2.12,1.14
